Sample,FunctionalGroup,JSD
IFCB1_2009_095_000225,Other,
IFCB1_2009_095_000946,Ciliate,
IFCB1_2009_095_000946,Diatom,0.8051926676801718
IFCB1_2009_095_000946,Dinoflagellata,
IFCB1_2009_095_000946,Flagellate,0.04154063993885497
IFCB1_2009_095_000946,Other,0.14591036294094645
IFCB1_2009_095_002500,Ciliate,
IFCB1_2009_095_002500,Diatom,
IFCB1_2009_095_002500,Dinoflagellata,
IFCB1_2009_095_002500,Flagellate,0.0391982936800298
IFCB1_2009_095_002500,Other,
IFCB1_2009_095_003242,Ciliate,
IFCB1_2009_095_003242,Diatom,0.7898270102034703
IFCB1_2009_095_003242,Dinoflagellata,
IFCB1_2009_095_003242,Flagellate,0.041042928289678655
IFCB1_2009_095_003242,Other,0.14591036294094645
IFCB1_2009_095_004823,Ciliate,
IFCB1_2009_095_004823,Diatom,0.8771666157390302
IFCB1_2009_095_004823,Dinoflagellata,
IFCB1_2009_095_004823,Flagellate,0.035145076031114275
IFCB1_2009_095_004823,Other,
IFCB1_2009_095_005613,Ciliate,
IFCB1_2009_095_005613,Diatom,0.8000902592651232
IFCB1_2009_095_005613,Dinoflagellata,
IFCB1_2009_095_005613,Flagellate,0.04213873166618686
IFCB1_2009_095_005613,Other,0.14591036294094645
IFCB1_2009_111_001351,Ciliate,
IFCB1_2009_111_001351,Diatom,
IFCB1_2009_111_001351,Dinoflagellata,
IFCB1_2009_111_001351,Flagellate,0.033381422027932574
IFCB1_2009_111_001351,Other,0.14591036294094645
IFCB1_2009_111_002256,Ciliate,
IFCB1_2009_111_002256,Diatom,0.8769297712141476
IFCB1_2009_111_002256,Dinoflagellata,
IFCB1_2009_111_002256,Flagellate,0.04274904158287726
IFCB1_2009_111_002256,Other,0.1396247341250142
IFCB1_2009_111_003629,Ciliate,
IFCB1_2009_111_003629,Diatom,0.9078138600779042
IFCB1_2009_111_003629,Dinoflagellata,
IFCB1_2009_111_003629,Flagellate,0.04669387387946089
IFCB1_2009_111_003629,Other,0.14591036294094645
IFCB1_2009_111_004547,Ciliate,
IFCB1_2009_111_004547,Diatom,0.8568416442303503
IFCB1_2009_111_004547,Dinoflagellata,
IFCB1_2009_111_004547,Flagellate,0.041226312110387145
IFCB1_2009_111_004547,Other,0.14591036294094645
IFCB1_2009_111_180423,Ciliate,
IFCB1_2009_111_180423,Diatom,0.7955796469605904
IFCB1_2009_111_180423,Dinoflagellata,
IFCB1_2009_111_180423,Flagellate,0.04653045568226673
IFCB1_2009_111_180423,Other,0.14591036294094645
IFCB1_2009_111_182348,Ciliate,
IFCB1_2009_111_182348,Diatom,
IFCB1_2009_111_182348,Dinoflagellata,
IFCB1_2009_111_182348,Flagellate,0.05940450386020746
IFCB1_2009_111_182348,Other,
IFCB1_2009_111_182751,Ciliate,
IFCB1_2009_111_182751,Diatom,0.8147923090441558
IFCB1_2009_111_182751,Dinoflagellata,
IFCB1_2009_111_182751,Flagellate,0.0686335220834716
IFCB1_2009_111_182751,Other,0.14591036294094645
IFCB1_2009_111_184401,Ciliate,
IFCB1_2009_111_184401,Diatom,
IFCB1_2009_111_184401,Dinoflagellata,
IFCB1_2009_111_184401,Flagellate,0.04206407206598928
IFCB1_2009_111_184401,Other,0.14591036294094645
IFCB1_2009_111_185049,Ciliate,
IFCB1_2009_111_185049,Diatom,0.7705221067021529
IFCB1_2009_111_185049,Dinoflagellata,
IFCB1_2009_111_185049,Flagellate,0.06394036488325806
IFCB1_2009_111_185049,Other,0.14591036294094645
IFCB1_2009_117_201046,Ciliate,
IFCB1_2009_117_201046,Diatom,
IFCB1_2009_117_201046,Dinoflagellata,0.30414435871573287
IFCB1_2009_117_201046,Flagellate,0.038908055999546706
IFCB1_2009_117_201046,Other,0.15272698509393817
IFCB1_2009_117_203422,Ciliate,
IFCB1_2009_117_203422,Diatom,
IFCB1_2009_117_203422,Dinoflagellata,0.26480988003636435
IFCB1_2009_117_203422,Flagellate,0.03838752697189975
IFCB1_2009_117_203422,Other,0.1484581043530848
IFCB1_2009_117_205711,Ciliate,
IFCB1_2009_117_205711,Diatom,
IFCB1_2009_117_205711,Dinoflagellata,0.2666375101673697
IFCB1_2009_117_205711,Flagellate,0.028003617735289487
IFCB1_2009_117_205711,Other,0.14591036294094645
IFCB1_2009_122_001616,Ciliate,
IFCB1_2009_122_001616,Diatom,
IFCB1_2009_122_001616,Dinoflagellata,
IFCB1_2009_122_001616,Flagellate,0.033690022680747105
IFCB1_2009_122_001616,Other,0.14591036294094645
IFCB1_2009_122_003928,Ciliate,
IFCB1_2009_122_003928,Diatom,
IFCB1_2009_122_003928,Dinoflagellata,
IFCB1_2009_122_003928,Flagellate,0.04372166374935447
IFCB1_2009_122_003928,Other,
IFCB1_2009_122_160817,Ciliate,
IFCB1_2009_122_160817,Diatom,0.7526776115653716
IFCB1_2009_122_160817,Dinoflagellata,
IFCB1_2009_122_160817,Flagellate,0.07565667323118529
IFCB1_2009_122_160817,Other,0.14098137819510884
IFCB1_2009_122_163134,Ciliate,
IFCB1_2009_122_163134,Diatom,0.8290362054041707
IFCB1_2009_122_163134,Dinoflagellata,
IFCB1_2009_122_163134,Flagellate,0.06484528445479838
IFCB1_2009_122_163134,Other,0.09383680699181664
IFCB1_2009_122_165429,Ciliate,
IFCB1_2009_122_165429,Diatom,0.7948682190935391
IFCB1_2009_122_165429,Dinoflagellata,
IFCB1_2009_122_165429,Flagellate,0.03735610668736369
IFCB1_2009_122_165429,Other,0.17382662129011914
IFCB1_2009_122_221343,Ciliate,
IFCB1_2009_122_221343,Diatom,0.7452705867537952
IFCB1_2009_122_221343,Dinoflagellata,
IFCB1_2009_122_221343,Flagellate,0.08993198422686764
IFCB1_2009_122_221343,Other,0.16970649158893233
IFCB1_2009_122_223657,Ciliate,
IFCB1_2009_122_223657,Diatom,0.7315607915648519
IFCB1_2009_122_223657,Dinoflagellata,
IFCB1_2009_122_223657,Flagellate,0.09862588696701503
IFCB1_2009_122_223657,Other,0.14891818177583438
IFCB1_2009_132_182218,Ciliate,0.4117895217048347
IFCB1_2009_132_182218,Diatom,0.7352774525640746
IFCB1_2009_132_182218,Dinoflagellata,
IFCB1_2009_132_182218,Flagellate,0.036412815501864045
IFCB1_2009_132_182218,Other,0.10718110733984902
IFCB1_2009_132_184528,Ciliate,0.3942570419445232
IFCB1_2009_132_184528,Diatom,0.7535650661159311
IFCB1_2009_132_184528,Dinoflagellata,
IFCB1_2009_132_184528,Flagellate,0.06756892182196542
IFCB1_2009_132_184528,Other,0.09978327491299721
IFCB1_2009_132_190907,Ciliate,0.33702857636757355
IFCB1_2009_132_190907,Diatom,0.7376169082039785
IFCB1_2009_132_190907,Dinoflagellata,
IFCB1_2009_132_190907,Flagellate,0.08221844886504816
IFCB1_2009_132_190907,Other,0.11998244098122011
IFCB1_2009_133_001050,Ciliate,0.36027220791970993
IFCB1_2009_133_001050,Diatom,0.8062219546093865
IFCB1_2009_133_001050,Dinoflagellata,
IFCB1_2009_133_001050,Flagellate,0.10348280620108595
IFCB1_2009_133_001050,Other,0.13563637104696138
IFCB1_2009_133_003400,Ciliate,0.4861341066715493
IFCB1_2009_133_003400,Diatom,0.78782206979103
IFCB1_2009_133_003400,Dinoflagellata,
IFCB1_2009_133_003400,Flagellate,0.0910230800433159
IFCB1_2009_133_003400,Other,0.1339982034948942
IFCB1_2009_133_005656,Ciliate,0.3633029826706748
IFCB1_2009_133_005656,Diatom,0.7812300752234629
IFCB1_2009_133_005656,Dinoflagellata,
IFCB1_2009_133_005656,Flagellate,0.09566696212504924
IFCB1_2009_133_005656,Other,0.143250360425655
