Sample,FunctionalGroup,JSD
IFCB1_2009_117_203422,Flagellate,0.035377770816248794
IFCB1_2009_117_203422,Other,0.1171264186326622
IFCB1_2009_117_205711,Ciliate,
IFCB1_2009_117_205711,Diatom,
IFCB1_2009_117_205711,Dinoflagellata,0.22208680154281268
IFCB1_2009_117_205711,Flagellate,0.02370918697320125
IFCB1_2009_117_205711,Other,0.14591036294094645
IFCB1_2009_122_001616,Ciliate,
IFCB1_2009_122_001616,Diatom,
IFCB1_2009_122_001616,Dinoflagellata,
IFCB1_2009_122_001616,Flagellate,0.030216560330337466
IFCB1_2009_122_001616,Other,0.14591036294094645
IFCB1_2009_122_003928,Ciliate,
IFCB1_2009_122_003928,Diatom,
IFCB1_2009_122_003928,Dinoflagellata,
IFCB1_2009_122_003928,Flagellate,0.041102114857348576
IFCB1_2009_122_003928,Other,
IFCB1_2009_122_160817,Ciliate,
IFCB1_2009_122_160817,Diatom,0.7485338829097097
IFCB1_2009_122_160817,Dinoflagellata,
IFCB1_2009_122_160817,Flagellate,0.042154175311749975
IFCB1_2009_122_160817,Other,0.11509201195608164
IFCB1_2009_122_163134,Ciliate,
IFCB1_2009_122_163134,Diatom,0.8179111484585375
IFCB1_2009_122_163134,Dinoflagellata,
IFCB1_2009_122_163134,Flagellate,0.050236510220849975
IFCB1_2009_122_163134,Other,0.03880750719984144
IFCB1_2009_122_165429,Ciliate,
IFCB1_2009_122_165429,Diatom,0.7923650208331754
IFCB1_2009_122_165429,Dinoflagellata,
IFCB1_2009_122_165429,Flagellate,0.03425874639674907
IFCB1_2009_122_165429,Other,0.14348662396221465
IFCB1_2009_122_221343,Ciliate,
IFCB1_2009_122_221343,Diatom,0.7268337713812654
IFCB1_2009_122_221343,Dinoflagellata,
IFCB1_2009_122_221343,Flagellate,0.036251013390100235
IFCB1_2009_122_221343,Other,0.12869958736510792
IFCB1_2009_122_223657,Ciliate,
IFCB1_2009_122_223657,Diatom,0.7306965067175696
IFCB1_2009_122_223657,Dinoflagellata,
IFCB1_2009_122_223657,Flagellate,0.027199755370177756
IFCB1_2009_122_223657,Other,0.12626317334372522
IFCB1_2009_132_182218,Ciliate,0.29507411257689536
IFCB1_2009_132_182218,Diatom,0.7348877710593633
IFCB1_2009_132_182218,Dinoflagellata,
IFCB1_2009_132_182218,Flagellate,0.033227053552850584
IFCB1_2009_132_182218,Other,0.10718110733984902
IFCB1_2009_132_184528,Ciliate,0.28867770832433265
IFCB1_2009_132_184528,Diatom,0.7533381114051527
IFCB1_2009_132_184528,Dinoflagellata,
IFCB1_2009_132_184528,Flagellate,0.035456955236338454
IFCB1_2009_132_184528,Other,0.09978327491299721
IFCB1_2009_132_190907,Ciliate,0.2363371841158073
IFCB1_2009_132_190907,Diatom,0.7370837620365537
IFCB1_2009_132_190907,Dinoflagellata,
IFCB1_2009_132_190907,Flagellate,0.03147301858010788
IFCB1_2009_132_190907,Other,0.05762887226851357
IFCB1_2009_133_001050,Ciliate,0.2699371613521374
IFCB1_2009_133_001050,Diatom,0.8061360372497511
IFCB1_2009_133_001050,Dinoflagellata,
IFCB1_2009_133_001050,Flagellate,0.04284958685528165
IFCB1_2009_133_001050,Other,0.12661081036569966
IFCB1_2009_133_003400,Ciliate,0.22209018825570115
IFCB1_2009_133_003400,Diatom,0.7875574840612416
IFCB1_2009_133_003400,Dinoflagellata,
IFCB1_2009_133_003400,Flagellate,0.06864513758982924
IFCB1_2009_133_003400,Other,0.11588548890620182
IFCB1_2009_133_005656,Ciliate,0.2837595913332418
IFCB1_2009_133_005656,Diatom,0.7808965049167865
IFCB1_2009_133_005656,Dinoflagellata,
IFCB1_2009_133_005656,Flagellate,0.0676854473708307
IFCB1_2009_133_005656,Other,0.11520363061164803
IFCB1_2009_133_181551,Ciliate,
IFCB1_2009_133_181551,Diatom,
IFCB1_2009_133_181551,Dinoflagellata,
IFCB1_2009_133_181551,Flagellate,0.030892530440578225
IFCB1_2009_133_181551,Other,0.07950710350557066
IFCB1_2009_133_183845,Ciliate,
IFCB1_2009_133_183845,Diatom,
IFCB1_2009_133_183845,Dinoflagellata,
IFCB1_2009_133_183845,Flagellate,0.041851563703728376
IFCB1_2009_133_183845,Other,0.14591036294094645
IFCB1_2009_146_002131,Ciliate,
IFCB1_2009_146_002131,Diatom,0.666655820574182
IFCB1_2009_146_002131,Dinoflagellata,
IFCB1_2009_146_002131,Flagellate,0.029870046898963727
IFCB1_2009_146_002131,Other,0.11717190252152772
IFCB1_2009_146_004445,Ciliate,
IFCB1_2009_146_004445,Diatom,0.6551378130205979
IFCB1_2009_146_004445,Dinoflagellata,
IFCB1_2009_146_004445,Flagellate,0.030120101300670502
IFCB1_2009_146_004445,Other,0.11980489701706738
IFCB1_2009_146_180320,Ciliate,
IFCB1_2009_146_180320,Diatom,0.7245180776503464
IFCB1_2009_146_180320,Dinoflagellata,
IFCB1_2009_146_180320,Flagellate,0.036251013390100235
IFCB1_2009_146_180320,Other,0.12427446522208296
IFCB1_2009_146_182634,Ciliate,
IFCB1_2009_146_182634,Diatom,0.6785664024065807
IFCB1_2009_146_182634,Dinoflagellata,
IFCB1_2009_146_182634,Flagellate,0.01971585247418728
IFCB1_2009_146_182634,Other,0.11636043746373559
IFCB1_2009_146_184947,Ciliate,
IFCB1_2009_146_184947,Diatom,0.6396919701458894
IFCB1_2009_146_184947,Dinoflagellata,
IFCB1_2009_146_184947,Flagellate,0.02873081628510454
IFCB1_2009_146_184947,Other,0.1313179111520279
IFCB1_2009_155_141455,Ciliate,
IFCB1_2009_155_141455,Diatom,0.6696364894324118
IFCB1_2009_155_141455,Dinoflagellata,
IFCB1_2009_155_141455,Flagellate,0.023026351138479537
IFCB1_2009_155_141455,Other,0.13588513264785446
IFCB1_2009_155_143810,Ciliate,
IFCB1_2009_155_143810,Diatom,0.5822257031319442
IFCB1_2009_155_143810,Dinoflagellata,
IFCB1_2009_155_143810,Flagellate,0.036251013390100235
IFCB1_2009_155_143810,Other,0.1294984749772532
IFCB1_2009_155_150121,Ciliate,
IFCB1_2009_155_150121,Diatom,0.5554524296420825
IFCB1_2009_155_150121,Dinoflagellata,
IFCB1_2009_155_150121,Flagellate,0.036251013390100235
IFCB1_2009_155_150121,Other,0.13959236300250724
IFCB1_2009_158_002209,Ciliate,
IFCB1_2009_158_002209,Diatom,0.48491439240228523
IFCB1_2009_158_002209,Dinoflagellata,
IFCB1_2009_158_002209,Flagellate,0.03182453778567578
IFCB1_2009_158_002209,Other,0.14591036294094645
IFCB1_2009_158_004522,Ciliate,
IFCB1_2009_158_004522,Diatom,0.5019170099771497
IFCB1_2009_158_004522,Dinoflagellata,
IFCB1_2009_158_004522,Flagellate,0.02622318696397693
IFCB1_2009_158_004522,Other,0.14591036294094645
IFCB1_2009_158_180517,Ciliate,
IFCB1_2009_158_180517,Diatom,0.4914659308945332
IFCB1_2009_158_180517,Dinoflagellata,
IFCB1_2009_158_180517,Flagellate,0.029131976102272448
IFCB1_2009_158_180517,Other,0.13545758682974904
IFCB1_2009_158_182808,Ciliate,
IFCB1_2009_158_182808,Diatom,0.4979830067508651
IFCB1_2009_158_182808,Dinoflagellata,0.2676083555886451
IFCB1_2009_158_182808,Flagellate,0.029249197703119706
IFCB1_2009_158_182808,Other,0.13540453124036722
IFCB1_2009_158_185124,Ciliate,
